FID,Province,WeekEnding,TotalCases,WeeklyCases,TotalDeaths,WeeklyDeaths,TotalHospitalized,WeeklyHospitalized,TotalICU,WeeklyICU
1,NT,2020/06/26 03:59:59+00,5,0,0,0,,,,
2,NU,2020/06/26 03:59:59+00,0,0,0,0,,,,
3,ON,2020/06/26 03:59:59+00,34316,1221,2644,80,256,-75,61,-21
4,PE,2020/06/26 03:59:59+00,27,0,0,0,0,0,0,0
5,QC,2020/06/26 03:59:59+00,55079,529,5448,73,487,-87,50,-12
6,SK,2020/06/26 03:59:59+00,772,56,13,0,9,5,1,0
7,YT,2020/06/26 03:59:59+00,11,0,0,0,,,,
8,CA,2020/06/26 03:59:59+00,102794,2167,8508,162,810,-153,126,-33
9,AB,2020/07/03 03:59:59+00,8259,371,155,1,42,5,9,1
10,BC,2020/07/03 03:59:59+00,2947,69,177,3,19,2,2,-3
11,MB,2020/07/03 03:59:59+00,325,7,7,0,0,0,0,0
12,NB,2020/07/03 03:59:59+00,165,0,2,0,1,-1,1,0
13,NL,2020/07/03 03:59:59+00,261,0,3,0,0,0,,
14,NS,2020/07/03 03:59:59+00,1064,3,63,0,2,0,0,0
15,NT,2020/07/03 03:59:59+00,5,0,0,0,,,,
16,NU,2020/07/03 03:59:59+00,0,0,0,0,,,,
17,ON,2020/07/03 03:59:59+00,35535,1219,2682,38,155,-101,40,-21
18,PE,2020/07/03 03:59:59+00,27,0,0,0,0,0,0,0
19,QC,2020/07/03 03:59:59+00,55682,603,5560,112,392,-95,31,-19
20,SK,2020/07/03 03:59:59+00,796,24,14,1,4,-5,3,2
21,YT,2020/07/03 03:59:59+00,11,0,0,0,,,,
22,CA,2020/07/03 03:59:59+00,105090,2296,8663,155,615,-195,86,-40
23,AB,2020/07/10 03:59:59+00,8596,337,160,5,50,8,9,0
24,BC,2020/07/10 03:59:59+00,3053,106,187,10,16,-3,5,3
25,MB,2020/07/10 03:59:59+00,325,0,7,0,0,0,0,0
26,NB,2020/07/10 03:59:59+00,166,1,2,0,0,-1,0,-1
27,NL,2020/07/10 03:59:59+00,262,1,3,0,0,0,,
28,NS,2020/07/10 03:59:59+00,1066,2,63,0,1,-1,0,0
29,NT,2020/07/10 03:59:59+00,5,0,0,0,,,,
30,NU,2020/07/10 03:59:59+00,0,0,0,0,,,,
31,ON,2020/07/10 03:59:59+00,36464,929,2710,28,117,-38,34,-6
32,PE,2020/07/10 03:59:59+00,33,6,0,0,0,0,0,0
33,QC,2020/07/10 03:59:59+00,56316,634,5612,52,317,-75,24,-7
34,SK,2020/07/10 03:59:59+00,815,19,15,1,4,0,1,-2
35,YT,2020/07/10 03:59:59+00,11,0,0,0,,,,
36,CA,2020/07/10 03:59:59+00,107125,2035,8759,96,505,-110,73,-13
37,AB,2020/07/17 03:59:59+00,9219,623,167,7,68,18,13,4
38,BC,2020/07/17 03:59:59+00,3198,145,189,2,18,2,2,-3
39,MB,2020/07/17 03:59:59+00,336,11,7,0,0,0,0,0
40,NB,2020/07/17 03:59:59+00,168,2,2,0,0,0,0,0
41,NL,2020/07/17 03:59:59+00,262,0,3,0,0,0,,
42,NS,2020/07/17 03:59:59+00,1067,1,63,0,0,-1,0,0
43,NT,2020/07/17 03:59:59+00,5,0,0,0,,,,
44,NU,2020/07/17 03:59:59+00,0,0,0,0,,,,
45,ON,2020/07/17 03:59:59+00,37274,810,2746,36,108,-9,30,-4
46,PE,2020/07/17 03:59:59+00,36,3,0,0,0,0,0,0
47,QC,2020/07/17 03:59:59+00,57142,826,5647,35,260,-57,16,-8
48,SK,2020/07/17 03:59:59+00,936,121,15,0,12,8,1,0
49,YT,2020/07/17 03:59:59+00,13,2,0,0,,,,
50,CA,2020/07/17 03:59:59+00,109669,2544,8839,80,466,-39,62,-11
51,AB,2020/01/31 05:00:00+00,0,0,0,0,,,,
52,BC,2020/01/31 05:00:00+00,1,1,0,0,,,,
53,MB,2020/01/31 05:00:00+00,0,0,0,0,,,,
54,NB,2020/01/31 05:00:00+00,0,0,0,0,,,,
55,NL,2020/01/31 05:00:00+00,0,0,0,0,,,,
56,NS,2020/01/31 05:00:00+00,0,0,0,0,,,,
57,NT,2020/01/31 05:00:00+00,0,0,0,0,,,,
58,NU,2020/01/31 05:00:00+00,0,0,0,0,,,,
59,ON,2020/01/31 05:00:00+00,3,3,0,0,,,,
60,PE,2020/01/31 05:00:00+00,0,0,0,0,,,,
61,QC,2020/01/31 05:00:00+00,0,0,0,0,,,,
62,SK,2020/01/31 05:00:00+00,0,0,0,0,,,,
63,YT,2020/01/31 05:00:00+00,0,0,0,0,,,,
64,CA,2020/01/31 05:00:00+00,4,4,0,0,,,,
65,AB,2020/02/07 05:00:00+00,0,0,0,0,,,,
